Nom municipi,Districte,Secció,Cens electoral,Votants,xcoord,ycoord,MUNICIPI,area,Turnout,Density
ANGLÈS,1,1,810,446,2.63884163210268,41.9579846367117,170084.0,260459.073120117,0.5506172839506173,3109.8935824994237
ANGLÈS,1,2,1585,889,2.63325368875874,41.9561515900596,170084.0,471358.596435547,0.5608832807570978,3362.6203319211786
ANGLÈS,1,3,1166,662,2.63809464244103,41.9432926404381,170084.0,15586719.9597168,0.5677530017152659,74.80727202474134
ARBECA,1,1,739,451,0.910382683679545,41.5322098361453,250292.0,6918571.9029541,0.6102841677943166,106.8139509664503
ARBECA,1,2,842,520,0.940246549745011,41.5462884900224,250292.0,51301031.3094482,0.6175771971496437,16.412925403410505
ARBOLÍ,1,1,111,90,0.956869879246018,41.2385251866336,430154.0,20689785.8233643,0.8108108108108109,5.364966121333713
L'ARBOÇ,1,1,1520,813,1.62107230062633,41.29223714306325,430167.0,13571246.5532227,0.5348684210526315,112.00150214934035
L'ARBOÇ,1,2,1937,1058,1.59443544469078,41.2631950250992,430167.0,726887.115722656,0.546205472379969,2664.7879128718287
ARBÚCIES,1,1,1554,902,2.51291553711178,41.81565810683,170097.0,184498.735107422,0.5804375804375804,8422.821972710022
ARBÚCIES,1,2,1545,916,2.51431805047847,41.818053037826,170097.0,426420.419311523,0.5928802588996763,3623.1848430112223
ARBÚCIES,2,1,1010,624,2.49059891926422,41.8247754166829,170097.0,85800891.8502197,0.6178217821782178,11.771439413043979
ARENYS DE MAR,1,1,1826,1050,2.55378383712636,41.5796637829718,80060.0,150434.549926758,0.5750273822562979,12138.169063483248
ARENYS DE MAR,1,2,1744,1016,2.55742475592606,41.5869376868381,80060.0,506061.561889648,0.5825688073394495,3446.2210358120374
ARENYS DE MAR,1,3,947,471,2.55035737041722,41.5912516977346,80060.0,649890.464111328,0.49736008447729674,1457.1686342481498
ARENYS DE MAR,1,4,948,496,2.5621800066225,41.5867267947577,80060.0,2015641.77746582,0.5232067510548524,470.3216665770243
ARENYS DE MAR,2,1,1290,655,2.54836788559544,41.5779276274767,80060.0,159156.799438477,0.5077519379844961,8105.214508907344
ARENYS DE MAR,2,2,1449,836,2.54803985186879,41.5805918385925,80060.0,109442.049194336,0.5769496204278813,13239.883670553481
ARENYS DE MAR,2,3,1327,772,2.53509038944119,41.579296244064,80060.0,2638121.79223633,0.5817633760361718,503.0093773173016
ARENYS DE MAR,2,4,989,464,2.54162238372266,41.5879020858362,80060.0,200567.4765625,0.4691607684529828,4931.008840268337
ARENYS DE MAR,2,5,1301,666,2.5441627315284,41.5871306157599,80060.0,43508.6763916016,0.5119139123750961,29902.081789165382
ARENYS DE MUNT,1,1,1214,673,2.51676516748516,41.6174767856729,80076.0,6165102.8236084,0.5543657331136738,196.91480170471067
ARENYS DE MUNT,1,2,2362,1350,2.54353567400766,41.6239373359988,80076.0,4419954.44580078,0.5715495342929721,534.394647945759
ARENYS DE MUNT,2,1,1641,1015,2.52367319136269,41.5999168679463,80076.0,7379521.36401367,0.6185252894576477,222.3721457061372
ARENYS DE MUNT,2,2,1714,887,2.55227164222574,41.6022683303765,80076.0,3716749.13500977,0.5175029171528588,461.15568679495897
ARGELAGUER,1,1,330,210,2.63001817428889,42.2098013239052,170101.0,12623612.0715332,0.6363636363636364,26.141487723958544
L'ARGENTERA,1,1,116,98,0.903373113246052,41.1313397247674,430173.0,10025075.1916504,0.8448275862068966,11.570985532020059
ARGENTONA,1,1,651,387,2.38659030254364,41.569024839474,80095.0,4868149.61779785,0.5944700460829493,133.72637472356192
ARGENTONA,1,2,1312,822,2.38929864154253,41.5459380570547,80095.0,2702303.72766113,0.6265243902439024,485.5116716045641
ARGENTONA,1,3,611,289,2.41110307501086,41.5392348870711,80095.0,1482093.73925781,0.47299509001636664,412.2546258821465
ARGENTONA,1,4,1477,702,2.3708069591875,41.5674494641028,80095.0,7736342.65112305,0.4752877454299255,190.91708661399463
ARGENTONA,1,5,871,598,2.39490957235396,41.553503929195,80095.0,239771.435058594,0.6865671641791045,3632.6262124891978
ARGENTONA,1,6,1679,1047,2.40395968197155,41.5478745576789,80095.0,620343.458496094,0.6235854675402025,2706.565172896994
ARGENTONA,2,1,957,514,2.40863434847768,41.567747809314,80095.0,5430634.35119629,0.5370950888192267,176.2225070058688
ARGENTONA,2,2,1122,586,2.41596499925937,41.5522166408688,80095.0,2238270.11352539,0.5222816399286988,501.2799810085444
