MUNICIPI,DISTRICTE,SECCIO,MUNDISSEC,xcoord,ycoord
"080193","01","005","08019301005",2.17277025209894,41.3788302884049
"080193","01","006","08019301006",2.17178997550008,41.3800524401106
"080193","01","007","08019301007",2.1699864568351,41.3791413590354
"080193","01","008","08019301008",2.16820069760495,41.3778239310362
"080193","01","009","08019301009",2.16596024088961,41.3774874649305
"080193","01","010","08019301010",2.16722279059059,41.3788346225762
"080193","01","011","08019301011",2.16545605459764,41.3789440418935
"080193","01","012","08019301012",2.16409888237,41.3796091270316
"080193","01","013","08019301013",2.16587500371364,41.380072473045
"080193","01","014","08019301014",2.16643821914424,41.3809344211431
"080193","01","015","08019301015",2.16428975027255,41.3810249715939
"080193","01","016","08019301016",2.16434149979174,41.3828494075944
"080193","01","017","08019301017",2.16552762665141,41.38183461018
"080193","01","018","08019301018",2.16691850213746,41.3825896706927
"080193","01","019","08019301019",2.17030850178915,41.3812645579298
"080193","01","020","08019301020",2.16902686113196,41.3833881698273
"080193","01","021","08019301021",2.16686882911747,41.384882454788
"080193","01","022","08019301022",2.17205915379876,41.3848810243607
"080193","01","023","08019301023",2.17395128305125,41.3862298460987
"080193","01","025","08019301025",2.17635709437806,41.3836087041235
"080193","01","026","08019301026",2.17950724332539,41.3823114144674
"080193","01","027","08019301027",2.17804894389583,41.3813418574945
"080193","01","028","08019301028",2.17381016956415,41.3822688781605
"080193","01","029","08019301029",2.17579999754946,41.3802871407865
"080193","01","030","08019301030",2.18039167407566,41.3777857329889
"080193","01","031","08019301031",2.1797123399002,41.3800504297609
"080193","01","032","08019301032",2.18781008119701,41.3727236472746
"080193","01","033","08019301033",2.18904649671406,41.3777170563543
"080193","01","034","08019301034",2.19119470089752,41.378167343672
"080193","01","035","08019301035",2.19183841002217,41.3796231283539
"080193","01","036","08019301036",2.19398149854259,41.3836991505141
"080193","01","037","08019301037",2.18987337864393,41.3810458453674
"080193","01","038","08019301038",2.19051739883347,41.3794202190339
"080193","01","039","08019301039",2.18915272026157,41.3795437724303
"080193","01","040","08019301040",2.188057002869,41.379289092318
"080193","01","041","08019301041",2.18811486309272,41.3810739462638
"080193","01","042","08019301042",2.18826006255507,41.3824497051986
"080193","01","043","08019301043",2.18717141127802,41.3863437012245
"080193","01","044","08019301044",2.1832619492037,41.3860418070379
"080193","01","045","08019301045",2.18184185149766,41.3845332518261
"080193","01","046","08019301046",2.18080635339476,41.3832898031399
"080193","01","047","08019301047",2.17858217691021,41.3853787580722
"080193","01","048","08019301048",2.17997244150192,41.3864971782722
"080193","01","049","08019301049",2.17751373051533,41.3867615340807
"080193","01","050","08019301050",2.17640864556309,41.38728570118
"080193","01","051","08019301051",2.17810442112302,41.3885653739681
"080193","01","052","08019301052",2.17658455593055,41.3889874520486
"080193","01","053","08019301053",2.18001918227661,41.3886843871217
"080193","01","054","08019301054",2.18119127290677,41.3878514112665
"080193","01","055","08019301055",2.18219104939868,41.3898139461973
"080193","02","001","08019302001",2.18316666828971,41.3937348792124
"080193","02","002","08019302002",2.18077053205339,41.3943565286561
"080193","02","003","08019302003",2.18303909435153,41.3960499067897
"080193","02","004","08019302004",2.18134034667028,41.3964857495461
"080193","02","005","08019302005",2.17964051679268,41.3952108116744
"080193","02","006","08019302006",2.17849266973653,41.3935088220662
"080193","02","007","08019302007",2.17738312985558,41.3952778897043
"080193","02","008","08019302008",2.17956590604641,41.3969569006037
"080193","02","009","08019302009",2.18184297961789,41.3978047609368
"080193","02","010","08019302010",2.18245039156816,41.3991311784601
"080193","02","011","08019302011",2.18365279375661,41.3982193852733
"080193","02","012","08019302012",2.18545441850975,41.3967487918029
"080193","02","013","08019302013",2.18531717541063,41.3999205372337
"080193","02","014","08019302014",2.18387918272581,41.4020370168742
"080193","02","015","08019302015",2.18198547224078,41.4011827021445
"080193","02","016","08019302016",2.18006383119473,41.3992145119476
"080193","02","017","08019302017",2.17718093090876,41.3979078852536
"080193","02","018","08019302018",2.17504062314452,41.3994892125723
