Nom municipi,Densitat,MUNICIPI
Senterada,4.03,252022
Seròs,22.68,252043
Sidamon,92.35,252056
Solsona,516.21,252075
Soriguera,3.95,252081
Sort,20.49,252094
Soses,58.31,252108
Sudanell,96.55,252115
Sunyer,27.01,252120
Talarn,21.33,252154
Talavera,9.27,252167
Tarroja de Segarra,24.74,252192
Tarrés,7.85,252189
Tiurana,4.84,252228
Tornabous,33.97,252252
Torre-serona,67.46,252332
Torrebesses,9.74,252265
Torrefarrera,199.74,252287
Torrefeta i Florejacs,6.83,259078
Torregrossa,53.8,252304
Torrelameu,67.43,252311
Torres de Segre,46.76,252326
Torà,13.26,252234
Tremp,19.52,252347
Tàrrega,197.34,252173
Térmens,49.45,252206
Tírvia,15.76,252213
Vall de Cardós,6.23,259010
Vallbona de les Monges,7.13,252385
Vallfogona de Balaguer,70.59,252402
Verdú,25.2,252424
Vielha e Mijaran,26.5,252430
Vila-sana,38.43,252521
Vilagrassa,28.14,252445
Vilaller,9.27,252458
Vilamòs,11.56,252477
Vilanova de Bellpuig,84.5,252483
Vilanova de Meià,3.94,252509
Vilanova de Segrià,115.88,252516
Vilanova de l'Aguda,3.72,252496
Vilanova de la Barca,50.37,252542
Vinaixa,11.97,252555
el Cogul,8.63,250766
el Palau d'Anglesola,176.1,251581
el Poal,75.28,251689
el Pont de Bar,3.57,250306
el Pont de Suert,15.24,251734
el Soleràs,27.21,252069
el Vilosell,9.21,252537
els Alamús,39.56,250045
els Omellons,18.56,251538
els Omells de na Gaia,9.63,251543
els Plans de Sió,8.78,259118
els Torms,10.0,252249
l'Albagés,14.05,250061
l'Albi,22.89,250096
l'Espluga Calba,15.3,250812
la Baronia de Rialb,1.58,250426
la Coma i la Pedra,4.21,251636
la Floresta,25.45,250925
la Fuliola,112.61,250962
la Granadella,8.07,251018
la Guingueta d'Àneu,2.67,259031
la Molsosa,3.87,251364
la Pobla de Cérvoles,3.05,251692
la Pobla de Segur,92.77,251713
la Portella,60.41,251749
la Sentiu de Sió,13.99,250352
la Seu d'Urgell,792.6,252038
la Torre de Cabdella,4.59,252271
la Vall de Boí,4.64,250432
la Vansa i Fórnols,1.4,259097
les Avellanes i Santa Linya,4.2,250371
les Borges Blanques,100.37,250582
les Oluges,9.05,251522
les Valls d'Aguilar,1.98,259062
les Valls de Valira,4.58,252398
Àger,3.61,250024
Agullana,31.16,170010
Aiguaviva,55.04,170025
Albanyà,1.64,170031
Albons,68.38,170046
Alp,35.96,170062
Amer,58.15,170078
Anglès,346.87,170084
Arbúcies,76.66,170097
Argelaguer,31.68,170101
Avinyonet de Puigventós,133.41,170123
Banyoles,1806.58,170157
Begur,187.97,170139
Bellcaire d'Empordà,53.81,170182
Besalú,507.55,170195
Bescanó,139.03,170209
Beuda,5.18,170216
Biure,24.1,172348
Blanes,2255.03,170237
Boadella i les Escaules,25.19,170293
Bolvir,36.41,170242
Bordils,241.23,170255
Borrassà,77.98,170268
Breda,752.4,170274
Brunyola i Sant Martí Sapresa,10.57,170280
Bàscara,57.2,170160
Cabanelles,4.8,170314
Cabanes,64.53,170307
Cadaqués,102.08,170329
Caldes de Malavella,137.38,170335
Calonge i Sant Antoni,337.23,170340
Campdevànol,99.14,170366
Campelles,7.53,170372
Campllong,62.44,170388
Campmany,23.14,170427
Camprodon,22.22,170391
Camós,43.12,170353
Canet d'Adri,16.42,170405
Cantallops,15.77,170412
Cassà de la Selva,230.31,170448
"Castell d'Aro, Platja d'Aro i S'Agaró",505.96,170486
Castellfollit de la Roca,1352.86,170464
Castelló d'Empúries,262.41,170470
Celrà,285.18,170499
Cervià de Ter,97.58,170502
Cistella,11.02,170519
Colera,18.24,170545
Colomers,40.47,170558
Cornellà del Terri,86.61,170561
Corçà,77.79,170577
Crespià,22.28,170583
"Cruïlles, Monells i Sant Sadurní de l'Heura",12.73,179011
Darnius,15.39,170600
Das,16.03,170617
Espinelves,12.7,170638
Espolla,9.47,170643
Esponellà,28.76,170656
Figueres,2447.41,170669
Flaçà,173.85,170675
Foixà,16.12,170681
Fontanals de Cerdanya,15.28,170694
Fontanilles,15.7,170708
Fontcoberta,84.91,170715
Fornells de la Selva,224.37,170736
Fortià,72.87,170741
Garrigoles,17.77,170767
Garriguella,40.62,170773
Garrigàs,22.66,170754
Ger,13.44,170789
Girona,2643.71,170792
Gombrèn,4.43,170806
Gualta,44.67,170813
Guils de Cerdanya,24.95,170828
Hostalric,1262.06,170834
Isòvol,26.02,170849
Jafre,58.64,170852
Juià,37.98,170871
Lladó,62.52,170887
Llagostera,113.18,170890
Llambilles,48.84,170904
Llanars,21.66,170911
Llançà,170.54,170926
Llers,58.08,170932
Lloret de Mar,802.65,170950
Llívia,110.93,170947
Madremanya,21.02,170979
Maià de Montcal,26.76,170985
Masarac,22.86,171002
Massanes,30.5,171019
Maçanet de Cabrenys,10.28,171024
Maçanet de la Selva,154.96,171030
Meranges,2.68,170998
Mieres,13.12,171058
Mollet de Peralada,33.0,171061
Molló,7.8,171077
Mont-ras,136.59,171100
Montagut i Oix,9.93,171096
Navata,77.14,171117
Ogassa,5.31,171122
Olot,1238.83,171143
Ordis,41.98,171156
Osor,8.21,171169
Palafrugell,864.09,171175
Palamós,1295.36,171181
Palau de Santa Eulàlia,10.71,171194
Palau-sator,25.0,171215
Palau-saverdera,88.78,171208
Palol de Revardit,24.89,171236
Pals,92.83,171241
Pardines,5.43,171254
Parlavà,63.06,171267
Pau,52.06,171289
Pedret i Marzà,21.95,171292
Peralada,43.53,171328
Planoles,16.17,171349
Pont de Molins,59.31,171352
Pontós,18.98,171365
Porqueres,139.61,171371
Portbou,115.54,171387
Puigcerdà,501.9,171411
Quart,99.69,171426
Queralbs,2.01,170433
Rabós,4.08,171432
Regencós,43.81,171447
Ribes de Freser,42.0,171450
Riells i Viabrea,153.81,171463
Ripoll,146.58,171479
Riudarenes,46.3,171485
Riudaura,20.38,171498
Riudellots de la Selva,158.09,171501
Riumors,37.85,171518
Roses,431.53,171523
Rupià,51.51,171539
Sales de Llierca,4.44,171544
Salt,4869.39,171557
Sant Andreu Salou,26.67,171576
Sant Aniol de Finestres,7.23,171833
Sant Climent Sescebes,28.98,171582
Sant Feliu de Buixalleu,12.88,171595
Sant Feliu de Guíxols,1364.01,171609
Sant Feliu de Pallerols,41.17,171616
Sant Ferriol,5.59,171621
Sant Gregori,79.84,171637
Sant Hilari Sacalm,68.46,171642
Sant Jaume de Llierca,128.09,171655
Sant Joan de Mollet,160.65,171680
Sant Joan de les Abadesses,60.04,171674
Sant Joan les Fonts,95.42,171851
Sant Jordi Desvalls,64.96,171668
Sant Julià de Ramis,190.21,171693
Sant Julià del Llor i Bonmatí,135.36,179032
Sant Llorenç de la Muga,8.33,171714
